Наименование,Признаки,ИНН,Адрес,Сайт,Дата добавления
AgricoleTrade ,Признаки нелегального профессионального участника рынка ценных бумаг,,,agricoletrade.com,01.02.2021
ForexGrand ,Признаки нелегального профессионального участника рынка ценных бумаг,,,forexgrand.com,01.02.2021
Kondor,Признаки финансовой пирамиды,,,"kondor.biz, kondor.ml",01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""АРФА""",Признаки нелегального кредитора,1649036932,"423250, Республика Татарстан, Лениногорский район, г. Лениногорск, ул. Тукая, дом 8, помещение 3",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮВЕЛ""",Признаки нелегального кредитора,5031113860,"142400, Московская обл, Ногинский район, г. Ногинск, ул. Декабристов, д. 9",,01.02.2021
Exinity UK LTD (Forex Time),Признаки нелегального профессионального участника рынка ценных бумаг,,"30 Churchill Place, London, England, E14 5EU","forextime.com, forextimekr.com, forextime-idn.com, forextimeir.com",01.02.2021
FT Global Services Ltd (Forex Time),Признаки нелегального профессионального участника рынка ценных бумаг,,"Tassos Papadopoulos, 6, Flat 22, St Total, 2373, Nicosia, Cyprus","forextime.com, forextimekr.com, forextime-idn.com, forextimeir.com",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""САХАЗАЙМТАЙМ""",Признаки нелегального кредитора,1435336294,"677014, Республика Саха (Якутия), г. Якутск, ул. Кузьмина, д. 37, кв. 4",,01.02.2021
CT-TRADE,Признаки нелегального профессионального участника рынка ценных бумаг,,,"trading.ct-trade.com, ct-trade.com",01.02.2021
Maximus FX,Признаки нелегального профессионального участника рынка ценных бумаг,,,maximusfx.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРАНТ""",Признаки нелегального кредитора,2631036651,"357100, Ставропольский край, г. Невинномыск, ул. Менделеева, д.18, кв.34",garant-nev.ru,01.02.2021
"Leomarkets Corp Ltd, FXTRAND",Признаки нелегального профессионального участника рынка ценных бумаг,,,fxtrand.com,01.02.2021
"HQBroker, CapZone Invest Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,"Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Republic of Marshall Islands, MH96960",hqbroker.com,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""КЕМСКИЙ""",Признаки финансовой пирамиды,1002005253,"186610, Республика Карелия, район Кемский, г. Кемь, проспект Пролетарский, дом 25.",,01.06.2021
Poloinvest Limited (Polo Invest),Признаки нелегального профессионального участника рынка ценных бумаг,,"33/F. , TML TowerD1-D3, 3 Hoi Shing RoadTsuen Wan, New TerritoriesHong Kong (Гонконг).",poloinvest.com,01.06.2021
"GBL Management Ltd., GBL investing",Признаки нелегального профессионального участника рынка ценных бумаг,,,"gblinvesting.com, gbl-investing.com",01.02.2021
"""Group Forex 24"" Ltd (Group Forex 24)",Признаки нелегального профессионального участника рынка ценных бумаг,,"30 St. Mary Axe, London, United Kingdom, EC3A8FR",groupforex24.trade,01.02.2021
